accuracy,loss,val_accuracy,val_loss
0.6499432325363159,0.6250478029251099,0.717795193195343,0.5821546912193298
0.7862083315849304,0.45980963110923767,0.8402146697044373,0.3843490183353424
0.8499019145965576,0.3536583185195923,0.8732452392578125,0.32642462849617004
0.8703933358192444,0.3077097535133362,0.8794384598731995,0.29671111702919006
0.8838649988174438,0.28118446469306946,0.8482658863067627,0.33043885231018066
0.8952720165252686,0.2589341402053833,0.8765482902526855,0.2833280563354492
0.903840184211731,0.2394292652606964,0.8947151303291321,0.2761645019054413
0.9133374691009521,0.22215977311134338,0.8852187991142273,0.27326393127441406
0.9148343205451965,0.21520251035690308,0.9007018804550171,0.25632429122924805
0.9179312586784363,0.20589356124401093,0.8953344225883484,0.2736791968345642
